,Z1_ActualPosition,X1_OutputCurrent,M1_sequence_number,S1_ActualPosition,Y1_OutputCurrent,S1_OutputCurrent,M1_CURRENT_FEEDRATE,X1_DCBusVoltage,X1_OutputVoltage,clamp_pressure,Y1_DCBusVoltage,Y1_OutputVoltage
18108,27.7,327.0,102.0,-762.0,325.0,319.0,3.0,0.0766,8.15,3.0,0.13,10.3
24874,28.7,327.0,80.0,-1940.0,326.0,323.0,3.0,0.0565,7.41,2.5,0.0755,5.13
8552,119.0,327.0,0.0,383.0,326.0,327.0,50.0,0.0203,0.576,4.0,0.0162,3.24
22473,28.5,327.0,79.0,-81.3,326.0,320.0,3.0,0.0976,6.26,2.5,0.0699,7.05
3590,29.5,326.0,38.0,1530.0,325.0,323.0,6.0,0.0952,12.6,3.0,0.0966,7.2
23495,28.7,327.0,76.0,1670.0,326.0,324.0,3.0,0.0819,6.81,2.5,0.086,7.91
12617,27.5,327.0,106.0,-226.0,326.0,322.0,3.0,0.0992,10.5,3.0,0.088,4.59
24323,28.7,327.0,76.0,1780.0,326.0,323.0,3.0,0.0982,9.74,2.5,0.0587,2.57
16328,27.7,327.0,128.0,-196.0,326.0,322.0,3.0,0.0727,9.59,4.0,0.0385,5.25
7781,29.7,323.0,14.0,-2040.0,323.0,315.0,15.0,0.158,26.7,4.0,0.0148,2.43
16174,29.7,327.0,41.0,603.0,326.0,324.0,3.0,0.0425,7.43,4.0,0.11,10.7
9242,55.7,327.0,0.0,-978.0,326.0,327.0,50.0,0.0552,2.08,4.0,0.0246,0.626
11203,27.5,327.0,128.0,-113.0,326.0,324.0,3.0,0.0999,11.7,4.0,0.044,1.9
13855,27.5,327.0,108.0,56.4,325.0,323.0,3.0,0.0481,0.958,3.0,0.102,9.21
18720,28.7,327.0,79.0,1710.0,326.0,322.0,3.0,0.0762,12.3,3.0,0.102,7.19
24938,27.7,327.0,107.0,291.0,326.0,323.0,3.0,0.0403,6.65,2.5,0.0958,9.42
6405,40.0,325.0,53.0,784.0,324.0,318.0,50.0,0.0232,0.526,4.0,0.022,3.07
2676,55.5,329.0,0.0,-2140.0,328.0,329.0,50.0,0.0504,5.22,4.0,0.0229,2.27
12257,29.5,326.0,48.0,-826.0,325.0,324.0,3.0,0.044,6.77,3.0,0.123,10.0
5429,27.7,324.0,97.0,-1510.0,323.0,316.0,6.0,0.11,14.3,4.0,0.0163,0.603
1555,119.0,325.0,0.0,905.0,327.0,324.0,50.0,2.78e-19,0.0,4.0,2.69e-19,0.0
5859,27.7,325.0,104.0,-1180.0,324.0,321.0,6.0,0.0437,5.37,4.0,0.113,14.0
9843,35.4,327.0,54.0,1540.0,326.0,318.0,3.0,0.0283,1.3,4.0,0.0167,1.69
9318,29.7,324.0,27.0,717.0,323.0,321.0,12.0,0.0409,2.51,4.0,0.105,21.6
10146,28.5,327.0,59.0,1950.0,325.0,322.0,3.0,0.0939,5.72,4.0,0.127,9.01
