,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition
11586,29.5,325.0,0.0565,327.0,-663.0
19419,29.7,326.0,0.0709,327.0,-1590.0
18077,28.7,326.0,0.0998,327.0,459.0
16264,35.4,326.0,0.0199,327.0,759.0
17890,32.2,326.0,0.0271,328.0,-1380.0
24518,30.5,325.0,0.0461,327.0,-463.0
1272,119.0,332.0,2.79e-19,328.0,-1160.0
2593,28.5,324.0,0.116,325.0,1110.0
6057,28.7,324.0,0.0985,324.0,1400.0
20413,119.0,329.0,2.78e-19,330.0,-273.0
3336,29.8,325.0,0.0261,326.0,342.0
436,28.5,324.0,0.0878,326.0,1800.0
15897,54.7,326.0,0.0466,328.0,1360.0
3868,27.5,325.0,0.0439,327.0,360.0
10920,29.5,325.0,0.0665,327.0,223.0
18504,28.7,326.0,0.109,327.0,-1680.0
14877,29.7,325.0,0.0548,327.0,709.0
16962,55.7,329.0,0.0456,330.0,2150.0
3976,27.5,325.0,0.0852,327.0,-93.5
12453,29.5,326.0,0.0587,327.0,-1540.0
15045,29.7,325.0,0.0572,326.0,-307.0
4473,119.0,327.0,0.0194,329.0,-486.0
14966,28.7,325.0,0.0632,327.0,-489.0
4857,29.5,326.0,0.0224,327.0,-1250.0
1626,119.0,327.0,2.78e-19,325.0,905.0
5435,27.7,323.0,0.0989,324.0,-1480.0
4386,29.5,325.0,0.096,326.0,-77.5
9447,55.7,326.0,0.0507,327.0,-978.0
11440,27.5,326.0,0.0763,327.0,1090.0
16151,29.7,325.0,0.0419,327.0,173.0
12359,29.5,326.0,0.0946,327.0,-2150.0
3035,27.5,325.0,0.0847,327.0,1090.0
12536,29.5,326.0,0.0548,327.0,639.0
1505,119.0,332.0,2.79e-19,328.0,-1160.0
16020,111.0,327.0,0.118,328.0,-2060.0
15185,55.7,329.0,0.0452,330.0,42.0
2993,119.0,328.0,0.0171,329.0,339.0
12258,29.5,325.0,0.045,327.0,-821.0
17035,27.7,326.0,0.0768,327.0,-303.0
14506,27.7,325.0,0.0544,327.0,2120.0
24202,27.7,326.0,0.083,327.0,1590.0
5649,29.7,323.0,0.0822,325.0,-881.0
4731,29.5,324.0,0.101,325.0,253.0
16003,29.7,326.0,0.0737,327.0,-1530.0
1323,28.5,324.0,0.124,324.0,1020.0
6313,28.7,324.0,0.0806,325.0,1110.0
19954,29.7,326.0,0.103,327.0,-1390.0
18756,28.7,326.0,0.0843,327.0,-1690.0
9409,55.7,326.0,0.0534,327.0,-978.0
15580,28.7,325.0,0.0924,327.0,-927.0
24781,28.7,326.0,0.0562,327.0,1380.0
16272,27.7,326.0,0.0703,327.0,-1880.0
15907,28.7,326.0,0.089,327.0,300.0
6494,29.7,323.0,0.0992,325.0,176.0
24533,29.7,325.0,0.0613,327.0,-1570.0
17675,29.7,326.0,0.0517,327.0,-2010.0
14765,29.7,325.0,0.089,326.0,-638.0
8903,28.7,323.0,0.125,324.0,1990.0
14075,28.4,325.0,0.0256,327.0,-1220.0
7358,119.0,326.0,0.0199,327.0,306.0
8076,29.7,322.0,0.0624,324.0,-1450.0
21340,27.5,326.0,0.107,327.0,-486.0
16327,27.7,326.0,0.0876,327.0,-201.0
9151,29.7,323.0,0.071,324.0,1130.0
10744,29.5,325.0,0.0878,326.0,-220.0
11166,28.5,325.0,0.0764,326.0,-267.0
23895,29.1,326.0,0.0265,327.0,-899.0
4838,119.0,326.0,0.0223,328.0,-1510.0
10192,28.5,325.0,0.088,327.0,-1020.0
20480,42.8,324.0,0.0522,325.0,-350.0
11665,28.5,325.0,0.107,327.0,-53.5
10921,29.5,326.0,0.0477,327.0,228.0
8210,29.7,323.0,0.102,323.0,-1390.0
15323,29.7,325.0,0.0734,326.0,-675.0
19903,29.7,326.0,0.0992,327.0,-1930.0
13898,27.5,325.0,0.0728,326.0,1780.0
13424,27.5,326.0,0.0675,327.0,339.0
502,28.5,324.0,0.0416,326.0,-2140.0
16797,27.7,326.0,0.0841,327.0,-1260.0
18344,29.7,326.0,0.1,327.0,-2130.0
16337,55.7,329.0,0.0474,330.0,42.0
23184,28.7,326.0,0.0769,327.0,1250.0
8978,55.7,326.0,0.0562,327.0,-978.0
12324,27.5,325.0,0.0726,327.0,-707.0
157,29.5,323.0,0.0537,325.0,307.0
16144,27.7,326.0,0.0974,327.0,-2000.0
24593,27.7,326.0,0.0775,327.0,1740.0
9880,119.0,329.0,0.0212,330.0,-1960.0
2988,119.0,329.0,0.0175,330.0,339.0
10815,29.5,325.0,0.0566,327.0,-812.0
22494,28.5,325.0,0.0643,327.0,-1210.0
14062,28.5,326.0,0.104,327.0,-188.0
2027,27.5,324.0,0.124,325.0,2030.0
23645,28.7,326.0,0.118,327.0,-1380.0
3831,28.5,325.0,0.0638,327.0,-1470.0
18610,28.7,326.0,0.0803,327.0,-277.0
3198,39.7,327.0,0.13,329.0,339.0
14920,29.7,325.0,0.0601,327.0,-1740.0
7470,46.0,322.0,0.0541,323.0,881.0
16166,27.7,325.0,0.0954,327.0,-1090.0
21123,29.5,326.0,0.083,327.0,463.0
8240,28.7,322.0,0.0537,324.0,-524.0
13829,28.5,325.0,0.0801,327.0,2050.0
24741,28.7,326.0,0.108,327.0,-1290.0
17635,27.7,326.0,0.0484,327.0,1620.0
17123,30.1,326.0,0.0198,327.0,-1340.0
8735,27.7,323.0,0.119,324.0,-1420.0
12117,27.5,326.0,0.0876,327.0,894.0
1456,119.0,332.0,2.79e-19,328.0,-1160.0
15017,28.7,326.0,0.0475,327.0,-1410.0
9849,27.5,326.0,0.0709,327.0,2020.0
10651,27.5,326.0,0.101,327.0,-198.0
13793,27.5,325.0,0.0531,327.0,-50.2
16852,119.0,328.0,0.0186,329.0,42.0
16043,29.7,326.0,0.0407,327.0,-1420.0
10629,27.5,326.0,0.0659,327.0,-1120.0
1407,27.5,324.0,0.0571,327.0,2070.0
21747,29.5,326.0,0.0969,327.0,1310.0
24826,38.7,326.0,0.0301,327.0,-382.0
8617,119.0,326.0,0.0218,328.0,383.0
11624,30.3,326.0,0.0256,327.0,-1960.0
14937,28.7,326.0,0.0555,327.0,-2000.0
13199,29.5,325.0,0.0809,326.0,320.0
5528,28.7,324.0,0.117,325.0,1740.0
16300,27.7,326.0,0.0879,327.0,1270.0
11644,32.4,326.0,0.0245,327.0,1600.0
11654,28.5,325.0,0.0711,327.0,-491.0
15918,29.7,325.0,0.0737,327.0,376.0
13688,29.5,326.0,0.0577,327.0,-1490.0
21236,27.5,326.0,0.0436,327.0,-252.0
22481,28.5,326.0,0.107,327.0,719.0
23450,28.7,325.0,0.0987,327.0,621.0
1542,27.5,324.0,0.0975,326.0,1710.0
14579,29.7,325.0,0.0521,327.0,-136.0
478,28.5,324.0,0.101,326.0,2020.0
21755,29.5,326.0,0.117,327.0,-321.0
17950,28.7,326.0,0.0967,327.0,2000.0
12521,29.5,326.0,0.0736,327.0,-1590.0
18725,28.7,326.0,0.0821,327.0,1740.0
6272,28.7,323.0,0.0909,325.0,1420.0
21280,29.5,326.0,0.0815,327.0,1190.0
540,28.5,325.0,0.101,326.0,-1940.0
15986,28.7,326.0,0.0842,327.0,460.0
24994,55.7,329.0,0.063,330.0,-1730.0
576,28.5,324.0,0.153,325.0,-1750.0
9420,119.0,326.0,0.0217,327.0,383.0
19915,27.7,325.0,0.0459,327.0,-1310.0
17819,27.7,326.0,0.0778,327.0,-895.0
6138,29.7,323.0,0.0444,325.0,-598.0
3829,28.5,325.0,0.0661,327.0,-1480.0
17705,27.7,326.0,0.119,327.0,817.0
19973,28.7,326.0,0.0593,327.0,377.0
5960,119.0,326.0,0.0249,328.0,-978.0
8073,29.7,322.0,0.0507,324.0,-1470.0
13360,27.5,325.0,0.0846,327.0,158.0
19733,55.7,328.0,0.0414,330.0,-927.0
18325,29.7,325.0,0.0532,327.0,1200.0
11555,74.7,327.0,0.124,329.0,-1960.0
16084,29.7,325.0,0.104,326.0,-542.0
4508,119.0,328.0,0.0173,329.0,-486.0
24278,55.7,328.0,0.0676,330.0,-1760.0
344,29.5,325.0,0.044,326.0,1310.0
19529,70.0,327.0,0.134,328.0,2150.0
22652,55.5,329.0,0.069,330.0,389.0
8651,27.7,323.0,0.0809,324.0,-1380.0
4661,29.5,324.0,0.063,326.0,146.0
24428,27.7,326.0,0.126,327.0,-872.0
24932,27.7,326.0,0.066,327.0,259.0
7610,27.7,322.0,0.106,324.0,1640.0
18482,28.7,326.0,0.0817,327.0,-149.0
18449,27.7,326.0,0.0598,327.0,-95.3
5422,28.7,324.0,0.089,325.0,1880.0
3182,27.5,325.0,0.0425,326.0,408.0
14792,28.7,326.0,0.0803,327.0,343.0
2506,119.0,332.0,2.79e-19,328.0,-1160.0
7462,29.7,323.0,0.161,323.0,838.0
4597,119.0,328.0,0.023,329.0,339.0
19740,27.7,325.0,0.0932,327.0,-1220.0
8151,55.7,326.0,0.0506,327.0,383.0
7188,27.7,323.0,0.0417,324.0,1800.0
3504,27.5,325.0,0.0981,326.0,510.0
2255,119.0,332.0,2.79e-19,328.0,-1160.0
24359,28.7,326.0,0.0931,327.0,136.0
11083,27.5,326.0,0.0965,327.0,1280.0
13253,33.2,326.0,0.0257,327.0,-1300.0
17213,29.7,325.0,0.0911,327.0,614.0
1509,119.0,332.0,2.79e-19,328.0,-1160.0
16204,28.7,326.0,0.0974,327.0,1850.0
3563,28.5,325.0,0.0972,327.0,-1290.0
24839,29.7,326.0,0.0922,327.0,-644.0
15594,29.7,326.0,0.0787,327.0,-1910.0
8704,27.7,322.0,0.0549,324.0,-1210.0
3830,28.5,325.0,0.0636,326.0,-1480.0
19385,55.7,328.0,0.0434,329.0,-927.0
12637,29.5,326.0,0.068,327.0,1650.0
14584,27.7,325.0,0.0586,327.0,-527.0
6652,62.2,326.0,0.0316,327.0,306.0
2686,119.0,332.0,2.79e-19,329.0,-1160.0
24013,55.7,328.0,0.0604,330.0,-1720.0
18287,29.7,325.0,0.0793,327.0,1760.0
9394,28.7,323.0,0.041,324.0,2090.0
14981,28.7,326.0,0.0668,327.0,130.0
15173,28.7,325.0,0.0466,327.0,-1450.0
10775,29.5,326.0,0.0478,327.0,-1400.0
20540,29.7,325.0,0.0269,327.0,-483.0
4040,28.5,325.0,0.108,326.0,-1160.0
7151,119.0,327.0,0.0203,328.0,306.0
7160,29.7,323.0,0.0875,324.0,566.0
17082,29.7,326.0,0.065,327.0,-1150.0
12350,29.5,326.0,0.0983,327.0,2100.0
21462,55.7,329.0,0.0231,330.0,-1720.0
17259,28.7,326.0,0.0295,327.0,123.0
9516,119.0,327.0,0.0211,328.0,383.0
4082,27.5,325.0,0.0577,327.0,87.9
21383,27.5,326.0,0.0518,327.0,-156.0
24042,29.7,326.0,0.0367,327.0,1720.0
14004,28.5,325.0,0.0875,327.0,1170.0
23268,29.7,325.0,0.0649,327.0,-1170.0
12537,29.5,326.0,0.0714,327.0,645.0
24116,55.7,329.0,0.0529,330.0,-1720.0
17690,32.1,326.0,0.0272,327.0,-683.0
18633,27.7,326.0,0.0779,327.0,-1220.0
13837,27.5,326.0,0.0842,327.0,702.0
5998,119.0,326.0,0.0203,328.0,-978.0
17110,27.7,326.0,0.0943,327.0,1120.0
18237,29.7,325.0,0.0733,327.0,1280.0
12313,27.5,326.0,0.0936,327.0,1830.0
22159,29.5,326.0,0.0995,327.0,-796.0
1959,119.0,327.0,2.78e-19,325.0,905.0
5527,27.7,324.0,0.105,325.0,-394.0
2464,119.0,332.0,2.79e-19,328.0,-1160.0
17457,28.7,326.0,0.0974,327.0,1780.0
9983,27.5,325.0,0.0849,327.0,-897.0
3865,55.5,328.0,0.0446,329.0,1550.0
24107,29.7,326.0,0.0999,327.0,-1740.0
22684,28.5,326.0,0.0979,327.0,570.0
19416,28.7,326.0,0.0392,327.0,607.0
15072,28.7,326.0,0.105,327.0,-1290.0
10309,27.5,326.0,0.0735,327.0,1750.0
15249,28.7,325.0,0.0704,327.0,-1120.0
17159,28.7,325.0,0.0491,327.0,128.0
19796,55.7,328.0,0.0388,330.0,-927.0
5867,29.7,323.0,0.0967,325.0,-854.0
12339,28.5,326.0,0.0622,327.0,-33.7
18100,28.7,326.0,0.0933,327.0,1500.0
15082,28.7,326.0,0.091,327.0,-1240.0
2616,119.0,332.0,2.79e-19,328.0,-1160.0
237,29.5,324.0,0.0822,326.0,734.0
23421,119.0,329.0,0.0246,330.0,455.0
19814,29.7,326.0,0.0471,327.0,-791.0
1259,119.0,326.0,2.78e-19,325.0,905.0
21251,29.5,326.0,0.042,327.0,68.4
19215,119.0,329.0,0.0224,330.0,2150.0
24641,27.7,326.0,0.0457,327.0,1780.0
5893,29.7,324.0,0.0894,325.0,-171.0
928,27.5,324.0,0.0756,326.0,131.0
21764,28.5,326.0,0.1,327.0,1990.0
14968,27.7,325.0,0.0448,327.0,1620.0
6634,28.7,323.0,0.0492,325.0,-386.0
12402,28.5,326.0,0.0801,327.0,-55.0
15961,27.7,326.0,0.103,327.0,-1340.0
2458,119.0,332.0,2.79e-19,328.0,-1160.0
5545,119.0,326.0,0.0228,327.0,-978.0
17420,29.7,326.0,0.0518,327.0,-1490.0
19884,28.7,325.0,0.0469,327.0,345.0
2517,119.0,332.0,2.79e-19,328.0,-1160.0
5340,28.7,324.0,0.0971,325.0,1720.0
11128,29.5,326.0,0.108,327.0,-1690.0
3676,28.5,325.0,0.0804,327.0,-1340.0
9033,119.0,326.0,0.0295,328.0,383.0
10560,27.5,326.0,0.0834,327.0,-790.0
14126,28.5,326.0,0.0499,327.0,-279.0
19809,29.7,326.0,0.06,327.0,-817.0
2086,119.0,332.0,2.79e-19,328.0,-1160.0
23337,29.7,326.0,0.0818,327.0,1550.0
15240,29.7,325.0,0.0867,326.0,-93.2
8389,27.7,322.0,0.0837,324.0,-374.0
17198,27.7,326.0,0.0762,327.0,-506.0
2821,27.5,325.0,0.0872,326.0,1360.0
9878,119.0,329.0,0.0212,330.0,-1960.0
10368,29.5,325.0,0.0461,327.0,703.0
2607,119.0,332.0,2.79e-19,328.0,-1160.0
9557,55.7,326.0,0.0565,327.0,-986.0
17901,29.7,326.0,0.0522,327.0,747.0
10976,29.5,326.0,0.0886,327.0,-1850.0
11196,28.5,326.0,0.0765,327.0,2030.0
11154,29.5,325.0,0.0524,327.0,783.0
3674,28.5,326.0,0.0927,327.0,-1350.0
13479,28.5,325.0,0.0863,327.0,384.0
23501,30.6,326.0,0.0189,327.0,-238.0
24668,28.7,326.0,0.0451,327.0,-1150.0
8790,55.7,326.0,0.0578,327.0,-978.0
6291,55.7,327.0,0.0627,328.0,209.0
16194,28.7,325.0,0.084,327.0,-457.0
8501,28.7,323.0,0.0392,324.0,1830.0
16371,27.7,325.0,0.109,327.0,1320.0
14595,27.7,326.0,0.0622,327.0,-1960.0
2226,119.0,327.0,2.78e-19,325.0,905.0
23550,28.7,325.0,0.104,327.0,1490.0
18541,28.7,326.0,0.089,328.0,1190.0
9229,55.7,326.0,0.0472,327.0,-978.0
13529,29.5,326.0,0.0736,327.0,-960.0
13746,29.5,326.0,0.052,327.0,1300.0
18207,27.7,326.0,0.0756,327.0,1690.0
10380,27.5,326.0,0.0987,327.0,1480.0
16244,29.7,326.0,0.167,327.0,510.0
24113,55.7,328.0,0.0546,330.0,-1720.0
15282,28.7,326.0,0.0616,327.0,567.0
21314,29.5,326.0,0.0868,327.0,-705.0
17664,29.7,326.0,0.0898,327.0,-1040.0
23288,27.7,326.0,0.0811,327.0,525.0
13511,28.5,325.0,0.0879,326.0,2020.0
17405,27.7,326.0,0.1,327.0,283.0
16177,29.7,326.0,0.0575,327.0,619.0
21792,29.5,326.0,0.0789,327.0,-604.0
15522,28.7,326.0,0.0453,327.0,65.8
22640,55.7,329.0,0.0196,330.0,-1720.0
1985,119.0,332.0,2.79e-19,328.0,-1160.0
10917,29.5,325.0,0.0816,327.0,207.0
19987,31.2,326.0,0.0184,327.0,-305.0
17737,119.0,328.0,0.0148,330.0,42.0
13204,27.5,325.0,0.0451,327.0,1480.0
11751,29.5,325.0,0.0715,327.0,431.0
22108,29.5,326.0,0.0718,327.0,1140.0
13782,27.5,326.0,0.0862,327.0,1240.0
10015,29.5,325.0,0.0689,327.0,47.0
12639,29.5,326.0,0.0768,327.0,1660.0
19940,55.7,328.0,0.0408,329.0,-963.0
69,29.5,325.0,0.0853,326.0,-164.0
19873,54.4,325.0,0.0359,326.0,-417.0
25081,29.7,325.0,0.0931,327.0,-922.0
9338,55.7,326.0,0.0519,327.0,-978.0
16926,35.8,326.0,0.0333,327.0,-1440.0
6263,28.7,324.0,0.311,325.0,891.0
15593,29.7,325.0,0.0823,327.0,-1920.0
3087,27.5,325.0,0.0483,326.0,1160.0
13871,29.5,325.0,0.0743,327.0,-2070.0
5669,28.7,324.0,0.112,325.0,1670.0
218,29.5,324.0,0.102,326.0,633.0
17852,28.7,326.0,0.0634,328.0,1150.0
14027,29.5,325.0,0.113,327.0,1950.0
15352,27.7,326.0,0.116,327.0,-1580.0
19904,29.7,326.0,0.102,327.0,-1920.0
8204,29.7,323.0,0.104,323.0,-1430.0
10669,27.5,326.0,0.064,327.0,-588.0
5976,29.7,323.0,0.0842,325.0,112.0
919,27.5,325.0,0.09,326.0,82.8
11512,28.5,326.0,0.0703,327.0,539.0
480,28.5,325.0,0.0918,326.0,2040.0
322,29.5,325.0,0.112,326.0,1190.0
9317,29.7,322.0,0.0388,324.0,711.0
6611,30.8,326.0,0.0296,327.0,-1220.0
7920,29.7,323.0,0.121,324.0,-1750.0
19497,29.7,326.0,0.107,327.0,-2030.0
2160,119.0,332.0,2.79e-19,328.0,-1160.0
10218,27.5,326.0,0.0788,327.0,1810.0
19881,28.7,326.0,0.0583,327.0,329.0
20511,39.4,326.0,0.108,328.0,-927.0
3483,28.5,325.0,0.0971,326.0,-787.0
16842,28.7,325.0,0.0619,327.0,2030.0
14047,28.5,325.0,0.0541,327.0,-1500.0
23220,28.7,326.0,0.104,327.0,-1560.0
9496,55.7,326.0,0.0566,327.0,-978.0
22545,55.5,329.0,0.0637,330.0,394.0
11614,27.5,326.0,0.089,327.0,-1390.0
6431,29.7,324.0,0.0733,325.0,544.0
7542,32.9,324.0,0.0322,325.0,945.0
12433,28.5,325.0,0.0942,327.0,1600.0
1651,119.0,326.0,2.78e-19,325.0,905.0
20581,119.0,329.0,2.78e-19,330.0,-273.0
13760,29.5,326.0,0.0903,327.0,-1120.0
17670,29.7,326.0,0.0324,327.0,-1010.0
24440,55.7,329.0,0.0512,330.0,-1720.0
24321,28.7,326.0,0.0742,327.0,1770.0
17033,27.7,326.0,0.0838,327.0,-314.0
24201,55.7,329.0,0.05,330.0,-1720.0
16370,27.7,326.0,0.0861,327.0,1310.0
8642,27.7,322.0,0.0617,324.0,-1760.0
3184,27.5,325.0,0.0449,327.0,419.0
22572,29.5,326.0,0.0959,327.0,-1550.0
24372,28.7,326.0,0.0682,327.0,1990.0
21480,28.5,325.0,0.0938,327.0,228.0
24995,55.7,328.0,0.0677,330.0,-1730.0
8368,119.0,326.0,0.0226,327.0,-2050.0
1332,29.5,324.0,0.135,325.0,735.0
7901,28.7,323.0,0.113,324.0,-806.0
23624,27.7,326.0,0.0555,327.0,664.0
21823,28.5,326.0,0.0973,327.0,-1780.0
2640,119.0,332.0,2.79e-19,328.0,-1160.0
25060,119.0,329.0,0.0202,330.0,455.0
10706,27.5,326.0,0.0514,327.0,-1520.0
9576,29.7,323.0,0.109,324.0,615.0
1329,29.5,325.0,0.129,325.0,719.0
4027,28.5,325.0,0.0916,326.0,-1660.0
24483,27.7,326.0,0.0521,327.0,1360.0
7324,28.7,323.0,0.122,324.0,1470.0
3494,27.5,325.0,0.092,327.0,243.0
6650,52.2,326.0,0.0323,327.0,306.0
24232,27.7,326.0,0.116,327.0,-2000.0
13690,29.5,325.0,0.0588,327.0,-1480.0
8774,55.7,326.0,0.054,328.0,-978.0
21825,28.5,326.0,0.0797,327.0,2040.0
22131,29.5,326.0,0.0386,327.0,-999.0
3479,28.5,325.0,0.104,326.0,-808.0
3141,29.5,325.0,0.0693,326.0,961.0
14858,55.7,329.0,0.0474,330.0,42.0
5317,27.7,323.0,0.045,325.0,-1230.0
4836,119.0,326.0,0.0249,327.0,-1510.0
12419,29.5,325.0,0.0517,327.0,1330.0
8918,55.7,326.0,0.0579,327.0,-978.0
15490,29.9,326.0,0.0209,327.0,1550.0
14862,55.7,328.0,0.0462,330.0,42.0
2245,119.0,333.0,2.79e-19,328.0,-1160.0
4676,119.0,328.0,0.0213,329.0,-486.0
21349,55.5,328.0,0.0662,330.0,368.0
21353,55.5,329.0,0.068,330.0,381.0
10152,28.5,326.0,0.102,327.0,1980.0
21542,29.5,326.0,0.099,327.0,-1450.0
15006,28.7,326.0,0.0727,327.0,-1640.0
7574,28.8,323.0,0.0191,324.0,956.0
17904,28.7,326.0,0.0468,327.0,2080.0
2161,119.0,327.0,2.78e-19,325.0,905.0
25033,29.7,326.0,0.0775,327.0,-740.0
5963,119.0,326.0,0.0235,327.0,-978.0
5431,27.7,323.0,0.126,324.0,-1500.0
5934,119.0,327.0,0.0225,328.0,-978.0
10938,27.5,326.0,0.109,327.0,2070.0
7545,28.7,323.0,0.119,324.0,1010.0
14845,27.7,325.0,0.107,327.0,1750.0
8801,55.7,326.0,0.0499,327.0,-978.0
24333,29.7,326.0,0.0701,327.0,833.0
11398,27.5,326.0,0.0639,327.0,-1060.0
24952,29.7,325.0,0.0654,327.0,-1110.0
9515,119.0,326.0,0.0191,328.0,383.0
7163,29.7,323.0,0.0893,324.0,582.0
20450,119.0,328.0,0.0192,329.0,-273.0
23133,27.7,326.0,0.0457,327.0,1910.0
10984,29.5,326.0,0.0897,327.0,-1800.0
10681,29.5,325.0,0.0581,327.0,-1310.0
15410,28.7,325.0,0.0722,326.0,-158.0
19469,55.7,328.0,0.0404,329.0,-927.0
17244,29.7,326.0,0.0846,327.0,401.0
20014,29.7,326.0,0.0871,327.0,-967.0
19977,28.7,325.0,0.0763,327.0,399.0
11400,27.5,325.0,0.0639,327.0,-1050.0
1574,119.0,332.0,2.79e-19,328.0,-1160.0
11181,27.5,326.0,0.111,327.0,-1900.0
3933,27.5,325.0,0.0892,326.0,328.0
14949,27.7,326.0,0.0634,327.0,1040.0
16286,27.7,326.0,0.0958,327.0,-361.0
10832,55.5,328.0,0.0448,330.0,136.0
19891,28.7,325.0,0.107,326.0,761.0
21147,27.5,326.0,0.0819,327.0,1630.0
5470,27.7,324.0,0.107,325.0,-1130.0
17302,55.7,329.0,0.0591,330.0,2150.0
17041,29.7,326.0,0.0551,327.0,1790.0
18266,55.7,329.0,0.0461,330.0,2150.0
15317,29.7,325.0,0.0618,327.0,-707.0
16986,28.7,326.0,0.111,327.0,982.0
13449,46.7,326.0,0.021,327.0,-735.0
3918,28.5,325.0,0.0909,326.0,-2090.0
3589,29.5,325.0,0.0913,326.0,1520.0
2971,28.5,325.0,0.101,326.0,-1140.0
4102,27.5,325.0,0.104,326.0,1160.0
8246,29.7,322.0,0.0796,324.0,-1690.0
22427,28.5,326.0,0.0988,327.0,-652.0
13234,27.5,325.0,0.0744,327.0,-210.0
21752,29.5,326.0,0.0872,327.0,1330.0
15279,28.7,326.0,0.09,327.0,551.0
18049,94.2,327.0,0.136,329.0,42.0
14690,27.7,325.0,0.0746,327.0,1850.0
10216,27.5,326.0,0.0689,327.0,1800.0
16000,35.3,324.0,0.0608,326.0,1320.0
18078,28.7,325.0,0.0742,327.0,465.0
19175,27.7,325.0,0.11,326.0,1590.0
6302,29.7,323.0,0.0659,325.0,-310.0
17452,28.7,326.0,0.0709,327.0,1760.0
11753,29.5,325.0,0.0665,327.0,442.0
18356,28.7,326.0,0.0993,327.0,-69.2
12557,27.5,325.0,0.0655,327.0,-798.0
25078,29.7,326.0,0.0296,327.0,-938.0
20421,119.0,329.0,2.78e-19,331.0,-273.0
12384,28.5,326.0,0.0855,327.0,288.0
2217,119.0,332.0,2.79e-19,328.0,-1160.0
8523,55.7,326.0,0.038,327.0,-978.0
2452,119.0,332.0,2.79e-19,328.0,-1160.0
5828,28.7,324.0,0.0849,325.0,1050.0
14648,119.0,328.0,0.0267,330.0,-2060.0
8581,29.7,323.0,0.0926,324.0,429.0
8636,27.7,323.0,0.11,324.0,-1790.0
4605,119.0,327.0,0.0338,329.0,339.0
21151,27.5,326.0,0.111,327.0,1650.0
24589,27.7,326.0,0.084,327.0,1720.0
14706,27.7,326.0,0.0908,327.0,-1390.0
13823,55.5,328.0,0.0392,330.0,-2060.0
19173,28.7,326.0,0.0983,327.0,1250.0
3641,119.0,328.0,0.041,330.0,339.0
12261,29.5,325.0,0.0443,327.0,-805.0
10324,27.5,325.0,0.0879,326.0,-43.4
682,28.5,324.0,0.105,325.0,-1180.0
14888,29.7,325.0,0.0833,327.0,24.2
15186,55.7,329.0,0.0465,330.0,42.0
1005,27.5,324.0,0.1,326.0,542.0
8766,55.7,326.0,0.0515,327.0,-978.0
6614,119.0,327.0,0.0249,328.0,306.0
273,29.5,325.0,0.0808,326.0,927.0
10111,28.5,325.0,0.0516,327.0,-1950.0
2004,119.0,328.0,0.0213,329.0,220.0
13788,28.5,326.0,0.069,327.0,261.0
21893,27.5,326.0,0.0998,327.0,1340.0
10033,28.5,325.0,0.0727,327.0,-1720.0
4373,119.0,327.0,0.0211,328.0,339.0
3834,28.5,325.0,0.0646,327.0,-1460.0
18084,28.7,326.0,0.0533,327.0,497.0
1240,119.0,332.0,2.79e-19,328.0,-1160.0
11129,29.5,326.0,0.0711,327.0,-1680.0
17886,33.4,326.0,0.0279,327.0,-1400.0
3886,29.5,325.0,0.0746,326.0,1010.0
22114,29.5,325.0,0.0701,327.0,1170.0
5941,29.7,323.0,0.052,325.0,144.0
22434,27.5,326.0,0.0723,327.0,-918.0
9922,119.0,329.0,0.0212,330.0,-1960.0
9032,119.0,327.0,0.0157,327.0,383.0
9907,119.0,329.0,0.0212,330.0,-1960.0
15938,29.7,326.0,0.0768,327.0,-937.0
14642,74.3,327.0,0.143,329.0,-2060.0
7557,27.7,322.0,0.0351,324.0,2060.0
181,29.5,324.0,0.115,325.0,435.0
9986,27.5,326.0,0.075,327.0,-881.0
10900,28.5,325.0,0.079,327.0,683.0
1388,119.0,332.0,2.79e-19,328.0,-1160.0
21478,27.5,326.0,0.074,327.0,-38.2
2632,29.5,324.0,0.14,325.0,601.0
14953,27.7,325.0,0.0666,327.0,1060.0
5830,28.7,324.0,0.0844,325.0,1060.0
11708,28.5,325.0,0.094,327.0,-203.0
7830,29.7,323.0,0.0726,324.0,-2010.0
24564,29.7,326.0,0.103,327.0,2130.0
3071,29.5,325.0,0.108,326.0,1040.0
22670,28.5,326.0,0.0984,327.0,2100.0
17031,27.7,326.0,0.103,327.0,-325.0
24061,29.7,326.0,0.101,327.0,-1660.0
10967,29.5,326.0,0.082,327.0,-871.0
15909,28.7,326.0,0.0929,327.0,311.0
25012,55.7,329.0,0.0606,330.0,-1720.0
4790,29.5,322.0,0.0997,323.0,-1490.0
2430,119.0,332.0,2.79e-19,328.0,-1160.0
24882,28.7,326.0,0.0538,327.0,456.0
15489,30.2,326.0,0.0224,327.0,1540.0
11572,119.0,328.0,0.0274,330.0,-1960.0
10797,27.5,325.0,0.0461,327.0,42.0
22493,28.5,325.0,0.0623,327.0,-1210.0
10252,28.5,325.0,0.0656,327.0,47.9
13938,36.1,326.0,0.021,327.0,-665.0
13206,27.5,325.0,0.0664,327.0,1490.0
14583,29.7,325.0,0.0606,326.0,-115.0
200,29.5,324.0,0.0523,326.0,537.0
15194,27.7,325.0,0.0799,327.0,-1540.0
24889,27.7,326.0,0.0706,327.0,1650.0
18788,27.7,326.0,0.0629,328.0,-495.0
