,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition
6351,27.7,324.0,0.0971,325.0,-816.0
23959,29.7,326.0,0.0752,327.0,-847.0
6791,54.7,323.0,0.168,324.0,-631.0
12429,28.5,325.0,0.11,327.0,1580.0
7386,28.7,323.0,0.104,324.0,1310.0
5901,55.7,324.0,0.06,325.0,182.0
8077,29.7,323.0,0.0483,324.0,-1450.0
5497,29.7,324.0,0.0922,325.0,651.0
10545,27.5,326.0,0.0563,327.0,1000.0
14115,28.5,325.0,0.0466,327.0,-1960.0
3463,55.5,328.0,0.0577,329.0,1550.0
7071,29.7,323.0,0.0526,325.0,-866.0
15061,29.7,325.0,0.0714,327.0,-1250.0
7465,29.7,323.0,0.0537,324.0,854.0
23279,27.7,326.0,0.0872,327.0,-61.0
8083,119.0,326.0,0.023,327.0,-2050.0
19749,119.0,329.0,0.0204,330.0,2150.0
17422,29.7,325.0,0.0555,327.0,-1480.0
989,27.5,325.0,0.0479,326.0,457.0
16011,29.7,326.0,0.0582,327.0,-1490.0
3615,119.0,328.0,0.0148,330.0,339.0
17197,27.7,326.0,0.0904,327.0,-511.0
22208,27.5,326.0,0.0834,327.0,255.0
19933,55.7,328.0,0.0388,329.0,-927.0
15195,27.7,325.0,0.0765,327.0,-1530.0
22525,29.5,326.0,0.0552,327.0,938.0
8611,55.7,326.0,0.0577,327.0,-978.0
23382,27.7,326.0,0.0784,327.0,-589.0
6417,29.7,323.0,0.0753,325.0,-400.0
13749,29.5,326.0,0.0748,327.0,-1170.0
24241,27.7,326.0,0.109,327.0,-1960.0
2903,27.5,325.0,0.106,326.0,819.0
19258,119.0,329.0,0.0196,329.0,2150.0
15520,28.7,325.0,0.0949,327.0,-377.0
3358,119.0,328.0,0.0171,329.0,339.0
1283,119.0,332.0,2.79e-19,328.0,-1160.0
9030,119.0,326.0,0.0166,327.0,383.0
6831,28.7,324.0,0.123,324.0,-428.0
750,27.5,324.0,0.131,326.0,-819.0
15963,27.7,326.0,0.153,327.0,-1330.0
11416,55.5,329.0,0.0434,330.0,109.0
17490,27.7,326.0,0.0924,327.0,577.0
2187,119.0,332.0,2.79e-19,328.0,-1160.0
18066,27.7,326.0,0.0758,327.0,1930.0
18361,28.7,326.0,0.0997,327.0,-42.5
12680,29.5,326.0,0.115,327.0,-1020.0
5568,27.7,323.0,0.115,324.0,-1470.0
2428,119.0,326.0,2.78e-19,325.0,905.0
24044,29.7,326.0,0.037,327.0,1740.0
18412,28.7,326.0,0.083,327.0,-95.8
25075,29.7,325.0,0.067,327.0,-954.0
2664,119.0,326.0,2.78e-19,325.0,905.0
2233,119.0,333.0,2.79e-19,328.0,-1160.0
13318,29.5,326.0,0.123,327.0,-933.0
21705,32.5,326.0,0.0219,327.0,1840.0
13469,27.5,326.0,0.0885,327.0,286.0
936,27.5,324.0,0.0562,326.0,174.0
16956,27.7,326.0,0.0645,327.0,-154.0
17958,29.7,325.0,0.096,327.0,353.0
13362,27.5,325.0,0.0857,327.0,168.0
3934,27.5,325.0,0.0457,326.0,333.0
6807,29.7,323.0,0.0616,325.0,-1180.0
15560,28.7,326.0,0.0895,327.0,1650.0
6258,28.7,323.0,0.102,324.0,2110.0
23234,28.7,326.0,0.0605,327.0,1620.0
13258,31.7,326.0,0.0215,327.0,-1280.0
2675,55.5,328.0,0.0483,329.0,-2140.0
6829,28.7,324.0,0.116,325.0,-439.0
8091,28.7,323.0,0.111,324.0,-892.0
23379,27.7,326.0,0.114,327.0,-605.0
24189,45.1,327.0,0.154,329.0,455.0
4726,29.5,325.0,0.109,326.0,226.0
85,29.5,324.0,0.0834,326.0,-78.9
17439,28.7,326.0,0.105,327.0,1900.0
24752,29.7,326.0,0.0663,327.0,-2020.0
25003,119.0,329.0,0.0235,330.0,455.0
13311,28.5,325.0,0.0731,327.0,-2130.0
23353,27.7,326.0,0.0765,327.0,926.0
12179,28.5,325.0,0.0599,327.0,785.0
5375,119.0,326.0,0.0185,328.0,-978.0
12233,55.5,328.0,0.0388,329.0,-2060.0
12503,53.5,324.0,0.0803,326.0,-1420.0
5347,27.7,324.0,0.0912,325.0,53.6
16969,27.7,326.0,0.0634,327.0,-63.3
24609,29.7,325.0,0.0858,327.0,593.0
11458,28.5,325.0,0.101,327.0,1760.0
6023,29.7,323.0,0.057,325.0,357.0
14689,27.7,325.0,0.0657,327.0,1850.0
13978,29.5,326.0,0.102,327.0,1690.0
20566,119.0,328.0,0.0194,329.0,-927.0
